Day,국민주택채권,산업금융채권,통화안정증권,서울지하철공채
18-May,1219.0 ,4794.2 ,14680.0 ,67.0 
18-Jun,1249.1 ,5015.8 ,13810.0 ,64.1 
18-Jul,1378.7 ,4346.3 ,14060.0 ,61.6 
18-Aug,1116.1 ,3657.4 ,13340.0 ,57.8 
18-Sep,985.7 ,3061.1 ,10870.0 ,47.7 
18-Oct,1464.3 ,4411.1 ,14350.0 ,61.3 
18-Nov,1336.7 ,3873.5 ,10360.0 ,66.4 
18-Dec,1246.4 ,2965.2 ,11440.0 ,70.2 
19-Jan,1135.5 ,4677.1 ,11770.0 ,70.7 
19-Feb,1006.4 ,4035.9 ,12090.0 ,48.7 
19-Mar,1140.7 ,3106.1 ,12310.0 ,63.6 
19-Apr,1324.3 ,4139.4 ,12430.0 ,67.2 
19-May,1323.8 ,3595.9 ,12500.0 ,60.6 
19-Jun,1142.7 ,3150.5 ,11900.0 ,55.7 
19-Jul,1468.3 ,4301.4 ,12910.0 ,64.6 
19-Aug,1263.9 ,3863.2 ,11710.0 ,59.4 
19-Sep,1242.0 ,4333.2 ,11370.0 ,59.4 
19-Oct,1318.3 ,3921.3 ,11990.0 ,62.8 
19-Nov,1392.6 ,4651.4 ,10820.0 ,66.5 
19-Dec,1659.7 ,2822.9 ,10270.0 ,87.8 
20-Jan,1400.6 ,5913.8 ,11520.0 ,59.2 
20-Feb,1625.3 ,4561.1 ,12300.0 ,49.8 
20-Mar,1576.9 ,6066.7 ,12800.0 ,69.4 
20-Apr,1392.0 ,8788.3 ,12930.0 ,77.4 
20-May,1312.0 ,9151.1 ,13100.0 ,81.2 
20-Jun,1520.6 ,4416.2 ,14030.0 ,95.3 
20-Jul,1751.0 ,3260.0 ,12330.0 ,78.3 
20-Aug,1484.4 ,5060.4 ,11970.0 ,60.2 
20-Sep,1644.2 ,4693.5 ,11560.0 ,72.8 
20-Oct,1539.1 ,3032.6 ,10810.0 ,65.3 
20-Nov,1534.5 ,4688.5 ,10610.0 ,72.1 
20-Dec,1923.9 ,2746.6 ,10130.0 ,91.9 
21-Jan,1406.3 ,5274.1 ,11450.0 ,65.5 
21-Feb,1426.0 ,5274.1 ,11560.0 ,58.3 
